Name,Website,Crunchbase URL,Funds Raised,Event,Outcome,Status
2600Hz,2600hz.com,https://www.crunchbase.com/organization/2600hz,,Disrupt SF 2013,Contestant,Operating
3DLT,3dlt.com,https://www.crunchbase.com/organization/3dlt-com,$630K,Disrupt NYC 2013,Contestant,Closed
3DPrinterOS,3dprinteros.com,https://www.crunchbase.com/organization/3dprinteros,,Disrupt SF 2016,Contestant,Operating
3Dprintler,3dprintler.com,https://www.crunchbase.com/organization/3dprintler-labs,$1M,Disrupt NY 2016,Audience choice,Operating
42 Technologies,42technologies.com,https://www.crunchbase.com/organization/42,,Disrupt NYC 2013,Contestant,Operating
5to1,5to1.com,https://www.crunchbase.com/organization/5to1,$19.3M,TC50 2009,Contestant,Acquired
8 Securities,8securities.com,https://www.crunchbase.com/organization/8-securities-limited,$29M,Disrupt Beijing 2011,Finalist,Operating
8020 Media,8020media.com,https://www.crunchbase.com/organization/8020publishing,,TC40 2007,Contestant,Operating
About Last Night,aboutlastnight.net,https://www.crunchbase.com/organization/about-last-night,,Disrupt NYC 2012,Contestant,Operating
Adgregate Markets,adgregate.com,https://www.crunchbase.com/organization/adgregate-markets,,TC50 2008,Contestant,Operating
AdhereTech,adheretech.com,https://www.crunchbase.com/organization/adheretech,$1.8M,Hardware Battlefield 2014,Contestant,Operating
AdRocket,adrocket.com,https://www.crunchbase.com/organization/adrocket,$1M,TC50 2008,Contestant,Closed
Affective Interfaces,affectiveinterfaces.com,https://www.crunchbase.com/organization/affective-interfaces,,TC50 2009,Contestant,Operating
Agrilyst,agrilyst.com,https://www.crunchbase.com/organization/agrilyst-inc,$1M,Disrupt SF 2015,Winner,Operating
Aiden,aiden.ai,https://www.crunchbase.com/organization/aiden-2,$750K,Disrupt London 2016,Contestant,Operating
AirBoxLab,foobot.io,https://www.crunchbase.com/organization/airboxlab,$17.9K,Hardware Battlefield 2014,Contestant,Operating
Aircall,aircall.io,https://www.crunchbase.com/organization/aircall,$11.6M,Disrupt SF 2015,Contestant,Operating
AirDroids,airdroids.com,https://www.crunchbase.com/organization/airdroids,$929.2K,Hardware Battlefield 2014,Contestant,Closed
AirHelp,airhelp.com,https://www.crunchbase.com/organization/airhelp,$12.2M,Disrupt NYC 2014,Contestant,Operating
AirWander,airwander.com,https://www.crunchbase.com/organization/airwander,,Disrupt London 2016,Contestant,Operating
Akoha,akoha.com,https://www.crunchbase.com/organization/akoha,$1.9M,TC50 2008,Contestant,Closed
Alfabetic,alfabetic.com,https://www.crunchbase.com/organization/alfabetic,,TC50 2008,Contestant,Acquired
Alicanto,alicanto.com,https://www.crunchbase.com/organization/alicanto,$4M,Disrupt SF 2012,Contestant,Operating
Allre,allre.com,https://www.crunchbase.com/organization/allre,,Disrupt SF 2014,Contestant,Acquired
Alpha Outlook,alphaoutlook.com,https://www.crunchbase.com/organization/alpha-outlook,,Disrupt Beijing 2011,Contestant,Operating
Altwork,altwork.com,https://www.crunchbase.com/organization/altwork,,Disrupt SF 2016,Audience choice,Operating
Amaryllis Nucleics,amaryllisnucleics.com,https://www.crunchbase.com/organization/amaryllis-nucleics,,Disrupt SF 2016,Contestant,Operating
