,city_trgt_label_enc,Age_bucket_label_enc,sex_label_enc,social_class_label_enc,primary_busn_label_enc,secondary_business_label_enc,annual_income_bucket_label_enc,monthly_expenses_bucket_label_enc,old_dependents,young_dependents,home_ownership,type_of_house_label_enc,occupants_count,house_area_bucket_label_enc,sanitary_availability,water_availabity,loan_purpose_label_enc,loan_tenure_bucket_label_enc,loan_installments_bucket_label_enc
30939,11,1,1,2,20,0,3,1,0,0,1.0,2,4,2,1.0,1.0,21,0,0
23329,11,0,0,1,20,0,1,1,0,1,1.0,2,3,1,1.0,0.5,1,0,1
31938,17,1,0,1,14,2,4,1,0,0,1.0,2,3,2,1.0,1.0,1,0,0
18758,11,1,0,1,20,0,1,1,0,0,1.0,2,2,2,1.0,0.5,31,0,1
14301,9,1,0,3,27,2,4,0,0,2,1.0,3,3,1,1.0,1.0,3,0,1
16652,5,1,0,3,10,0,3,1,0,0,1.0,3,3,2,1.0,0.5,17,0,0
5565,14,1,0,2,20,0,2,1,0,2,1.0,3,2,2,1.0,0.5,1,0,0
24363,8,0,0,1,24,0,2,1,0,1,1.0,3,3,1,1.0,0.5,1,0,1
15244,11,1,0,1,9,0,3,1,0,2,1.0,3,2,1,1.0,1.0,13,0,0
36806,14,1,0,1,3,0,5,1,0,1,1.0,3,4,2,1.0,1.0,2,0,0
10301,11,1,0,4,18,0,0,1,0,0,1.0,1,0,0,0.0,0.0,2,0,0
8708,11,1,0,4,20,0,0,0,0,0,1.0,1,0,0,0.0,0.0,21,0,0
19972,11,1,0,1,20,0,1,1,0,2,1.0,2,4,1,1.0,0.5,31,0,1
31400,14,1,0,1,20,0,5,1,0,0,1.0,3,2,1,1.0,1.0,27,0,0
34328,1,1,0,3,20,0,3,0,0,2,1.0,3,2,1,0.0,0.5,3,0,0
28007,14,1,0,1,29,0,3,1,0,0,1.0,3,2,2,1.0,1.0,14,0,0
16377,11,0,0,0,20,0,1,1,0,1,1.0,1,3,2,1.0,0.5,31,0,1
7240,14,1,0,1,30,0,1,0,0,1,1.0,3,1,1,1.0,0.5,1,0,0
13437,11,1,0,3,20,4,1,1,1,2,1.0,3,4,1,0.0,1.0,12,0,0
6513,11,1,0,1,13,4,1,1,0,1,1.0,3,4,1,1.0,0.5,21,0,0
37433,14,1,1,1,20,0,4,1,0,2,1.0,2,5,1,0.0,1.0,10,0,0
24438,1,1,0,1,6,0,3,1,0,2,1.0,3,2,2,0.0,0.5,2,0,0
29286,11,0,1,3,31,0,2,2,0,0,0.0,1,4,1,0.0,1.0,36,0,0
9145,10,1,0,4,30,0,0,1,0,0,1.0,2,0,0,0.0,0.0,1,0,0
13679,6,1,0,1,20,0,1,1,0,1,1.0,2,3,1,1.0,0.5,17,0,1
10532,11,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,7,0,1
23531,16,1,0,3,20,4,2,0,0,0,1.0,2,2,1,0.0,0.5,14,0,0
28487,16,0,0,3,20,1,4,1,0,1,1.0,1,3,1,1.0,1.0,10,0,0
20156,18,1,0,2,14,0,2,1,0,1,1.0,2,3,2,1.0,1.0,1,0,1
34594,14,1,0,3,14,0,4,1,0,1,1.0,3,2,2,1.0,1.0,1,0,0
37763,11,1,1,3,29,1,2,1,0,2,1.0,2,4,2,0.0,0.5,14,1,1
35580,14,1,0,3,20,0,4,1,0,1,1.0,3,2,1,1.0,1.0,5,0,0
8109,14,1,0,4,27,0,0,1,0,0,1.0,1,0,0,0.0,0.0,3,0,0
24818,6,1,0,1,20,0,1,1,0,0,1.0,2,3,1,1.0,0.5,14,0,1
39515,11,1,0,1,20,0,3,1,0,0,1.0,2,2,1,0.0,0.5,14,0,0
12748,11,1,1,4,20,4,0,1,0,0,1.0,0,0,0,0.0,0.0,19,0,0
9336,14,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,28,0,0
10842,11,1,0,4,20,0,0,1,0,0,1.0,3,0,0,0.0,0.0,1,0,0
12176,9,1,0,4,20,0,0,1,0,0,1.0,2,0,0,0.0,0.0,27,0,1
851,14,0,0,2,20,0,0,0,0,1,1.0,3,3,1,1.0,0.5,12,0,0
23697,13,0,0,4,27,0,5,1,0,1,1.0,1,3,1,1.0,1.0,3,0,0
18528,11,1,0,0,25,0,1,1,0,1,1.0,1,4,2,1.0,1.0,3,0,0
33507,3,0,0,1,13,0,4,1,0,1,1.0,1,3,1,1.0,1.0,21,0,0
6458,14,1,0,3,20,0,2,1,0,1,1.0,3,2,1,1.0,0.5,12,0,0
21644,14,1,0,2,14,0,4,1,0,0,1.0,3,3,2,1.0,1.0,1,0,0
4403,14,1,0,3,27,0,1,1,0,2,1.0,3,2,1,1.0,0.5,3,0,0
24932,11,1,0,1,13,4,1,1,0,0,1.0,3,3,1,1.0,1.0,21,0,0
17547,7,1,0,3,13,0,4,1,0,2,1.0,3,2,1,1.0,1.0,21,0,1
28755,13,1,0,2,20,0,5,1,0,0,1.0,2,3,1,0.0,1.0,12,0,0
18711,11,1,0,3,20,0,3,1,0,0,1.0,3,4,2,1.0,1.0,7,0,0
20395,11,0,0,1,20,0,1,1,0,0,1.0,2,2,2,1.0,0.5,35,0,1
7198,5,1,0,3,15,1,3,1,0,2,1.0,3,4,1,1.0,0.5,17,0,0
34657,11,1,0,1,4,0,4,1,0,2,1.0,2,4,1,1.0,1.0,14,0,0
17786,14,1,0,3,3,0,3,1,0,2,1.0,3,2,2,0.0,1.0,2,0,0
36766,16,1,0,3,29,4,3,1,0,2,1.0,2,5,1,0.0,0.5,14,0,0
20528,13,1,0,1,20,0,4,1,0,1,1.0,3,3,1,0.0,1.0,12,0,0
38758,14,1,0,0,27,0,4,1,0,0,1.0,1,2,2,1.0,1.0,3,0,0
36723,3,1,0,3,9,0,4,1,0,1,1.0,2,4,2,1.0,1.0,13,0,0
37168,2,1,0,0,9,0,4,1,0,2,1.0,1,4,1,1.0,1.0,13,0,0
3588,11,1,0,0,20,2,1,1,0,1,1.0,3,3,1,1.0,0.5,2,0,0
7277,8,1,0,1,10,0,1,1,0,1,1.0,2,3,1,1.0,0.5,17,0,1
14459,7,1,0,2,20,0,4,1,0,2,1.0,2,2,1,1.0,1.0,1,0,1
25049,1,1,0,3,4,2,3,0,0,1,1.0,3,1,1,0.0,0.5,14,0,0
15049,18,0,0,2,15,0,2,1,0,2,1.0,2,4,1,1.0,1.0,17,0,1
27178,17,1,1,1,20,2,4,1,1,0,1.0,2,2,2,1.0,1.0,21,0,0
8714,11,1,0,4,20,0,0,1,0,0,1.0,1,0,0,0.0,0.0,1,0,0
25599,9,0,0,3,27,2,3,1,0,2,1.0,1,4,1,1.0,1.0,3,0,1
37929,1,1,0,1,6,0,3,1,0,0,1.0,3,2,1,0.0,0.5,2,0,0
21818,18,0,0,2,15,0,2,1,0,2,1.0,2,3,1,1.0,1.0,17,0,1
35744,5,1,0,3,10,0,3,0,0,1,1.0,3,3,2,1.0,0.5,17,0,0
31119,16,1,0,3,20,4,3,1,0,0,1.0,2,5,1,1.0,0.5,14,0,0
14259,7,1,0,2,13,0,4,1,0,0,1.0,2,2,1,1.0,1.0,21,0,1
15299,11,1,0,3,6,1,3,1,0,2,1.0,3,4,1,0.0,1.0,2,0,0
29867,13,1,0,4,27,0,5,1,0,4,1.0,1,5,1,0.0,0.5,3,0,0
11282,11,1,0,4,13,0,0,1,0,0,1.0,2,0,0,0.0,0.0,21,0,0
7273,5,1,0,3,15,1,3,1,0,1,1.0,3,3,1,1.0,0.5,17,0,0
33777,11,1,0,2,20,0,3,1,0,0,1.0,3,3,1,1.0,1.0,21,0,0
3348,11,1,1,3,12,0,2,0,0,1,1.0,2,2,1,1.0,0.5,28,0,0
7694,14,1,0,4,20,0,0,1,0,0,1.0,1,0,0,0.0,0.0,7,0,1
2444,11,1,0,4,13,0,5,1,0,0,1.0,2,2,1,1.0,0.5,21,0,1
4619,11,1,0,2,27,0,5,1,0,0,1.0,2,3,1,1.0,0.5,3,0,1
5383,14,1,0,3,20,0,2,1,0,3,1.0,3,2,2,1.0,0.5,12,0,0
29402,18,1,0,2,15,0,4,1,0,0,1.0,2,2,1,1.0,1.0,17,0,1
31300,11,0,0,3,20,0,3,1,0,2,1.0,1,1,2,1.0,1.0,28,0,0
3663,11,1,0,1,20,0,1,1,0,0,1.0,2,2,1,1.0,0.5,15,0,1
10363,11,1,0,4,18,0,0,1,0,0,1.0,3,0,0,0.0,0.0,2,0,0
16493,18,1,0,0,15,0,2,1,0,2,1.0,2,4,1,1.0,1.0,17,0,1
3878,11,1,0,0,20,0,4,1,0,2,1.0,2,2,1,1.0,0.5,3,0,1
26296,14,1,0,1,25,0,2,1,0,3,1.0,3,2,1,1.0,1.0,3,0,0
32896,11,1,0,1,13,0,4,1,0,3,1.0,3,5,1,0.0,0.5,21,0,0
2393,11,1,0,0,0,0,0,1,0,1,1.0,3,3,2,1.0,0.5,13,0,0
