product,date,city,sales
Mixers,04-01-2014,Mumbai,2679347
Mixers,05-01-2014,Mumbai,3864612
Mixers,06-01-2014,Mumbai,2932658
Mixers,07-01-2014,Mumbai,3703713
Mixers,08-01-2014,Mumbai,3931029
Mixers,09-01-2014,Mumbai,4677008
Mixers,10-01-2014,Mumbai,4331662
Mixers,11-01-2014,Mumbai,2184730
Mixers,12-01-2014,Mumbai,4131878
Mixers,01-01-2015,Mumbai,4043952
Mixers,02-01-2015,Mumbai,3276885
Mixers,03-01-2015,Mumbai,5043804
Mixers,04-01-2015,Mumbai,3625236
Mixers,05-01-2015,Mumbai,4326062
Mixers,06-01-2015,Mumbai,2418609
Mixers,07-01-2015,Mumbai,3937404
Mixers,08-01-2015,Mumbai,3708630
Mixers,09-01-2015,Mumbai,3804926
Mixers,10-01-2015,Mumbai,5417580
Mixers,11-01-2015,Mumbai,2938341
Mixers,12-01-2015,Mumbai,4300940
Mixers,01-01-2016,Mumbai,3229175
Mixers,02-01-2016,Mumbai,3267240
Mixers,03-01-2016,Mumbai,6103232
Mixers,04-01-2016,Mumbai,5736690
Mixers,05-01-2016,Mumbai,3515403
Mixers,06-01-2016,Mumbai,1983288
Mixers,07-01-2016,Mumbai,3723448
Mixers,08-01-2016,Mumbai,4012728
Mixers,09-01-2016,Mumbai,5112100
Mixers,10-01-2016,Mumbai,5203170
Mixers,11-01-2016,Mumbai,2197132
Mixers,12-01-2016,Mumbai,2906503
Mixers,01-01-2017,Mumbai,3926367
Mixers,02-01-2017,Mumbai,3637237
Mixers,03-01-2017,Mumbai,5661553
Mixers,04-01-2017,Mumbai,2173903
Mixers,05-01-2017,Mumbai,4273063
Mixers,06-01-2017,Mumbai,3628117
Mixers,07-01-2017,Mumbai,5514155
Mixers,08-01-2017,Mumbai,6511352
Mixers,09-01-2017,Mumbai,7282989
Mixers,10-01-2017,Mumbai,7769826
Mixers,11-01-2017,Mumbai,2595569
Mixers,12-01-2017,Mumbai,4306914
Mixers,01-01-2018,Mumbai,6261570
Mixers,02-01-2018,Mumbai,2344462
Mixers,03-01-2018,Mumbai,3875078
Induction cookers,04-01-2014,Mumbai,1028092
Induction cookers,05-01-2014,Mumbai,1482890
Induction cookers,06-01-2014,Mumbai,1125290
Induction cookers,07-01-2014,Mumbai,1421152
Induction cookers,08-01-2014,Mumbai,1508375
Induction cookers,09-01-2014,Mumbai,1794615
Induction cookers,10-01-2014,Mumbai,1662102
Induction cookers,11-01-2014,Mumbai,838303
Induction cookers,12-01-2014,Mumbai,1585443
Induction cookers,01-01-2015,Mumbai,1551705
