date,coolers,Dry Iron,FoodProcessor,Gas Stove,Induction cookers,Mixers,Oven Toaster Grill,SECF,Steam Iron,Water Heaters
4/1/2014,35461588,2923874,4521490,1481189,3955124,12630533,1624839,812141,3374557,88920
5/1/2014,11186428,4217311,6521665,2136426,5704757,18217913,2343619,1171409,4867363,1033708
6/1/2014,325114,3200302,4948960,1621226,4329052,13824653,1778455,888923,3693597,3391997
7/1/2014,0,4041729,6250141,2047479,5467247,17459431,2246046,1122641,4664717,6622215
8/1/2014,0,4289790,6633744,2173141,5802799,18531008,2383898,1191540,4951013,5494659
9/1/2014,0,5103850,7892612,2585533,6903979,22047579,2836282,1417656,5890552,5614720
10/1/2014,48137,4726987,7309827,2394619,6394197,20419605,2626854,1312977,5455600,14475464
11/1/2014,261449,2384117,3686806,1207756,3224996,10298893,1324888,662217,2751601,11858573
12/1/2014,241358,4508967,6972684,2284173,6099282,19477816,2505698,1252420,5203977,12309297
1/1/2015,5114979,4413018,6824307,2235569,5969492,19063331,2452377,1225770,5093237,4000443
2/1/2015,27975022,3575946,5529856,1811520,4837182,15447348,1987205,993261,4127139,1093850
3/1/2015,41744229,5504122,8511593,2788303,7445427,23776666,3058720,1528837,6352521,678008
4/1/2015,32288871,4285515,3577482,3188717,5193663,21145002,2245918,2054481,3122181,99417
5/1/2015,10185588,5113983,4269076,3805156,6197698,25232727,2680095,2451650,3725756,1155749
6/1/2015,296027,2859120,2386749,2127380,3465000,14107079,1498384,1370666,2082990,3792462
7/1/2015,0,4654538,3885537,3463296,5640887,22965790,2439312,2231393,3391031,7404049
8/1/2015,0,4384095,3659778,3262071,5313136,21631413,2297581,2101741,3194002,6143372
9/1/2015,0,4497932,3754805,3346770,5451095,22193086,2357239,2156314,3276934,6277608
10/1/2015,43831,6404303,5346217,4765242,7761452,31599250,3356315,3070233,4665808,16184469
11/1/2015,238056,3473511,2899635,2584531,4209590,17138529,1820369,1665206,2530601,13258624
12/1/2015,219764,5084284,4244284,3783058,6161705,25086194,2664530,2437415,3704119,13762563
1/1/2016,4657345,3817317,3186639,2840347,4626252,18834885,2000546,1830026,2781078,4472745
2/1/2016,25472121,3862315,3224202,2873826,4680783,19056913,2024130,1851598,2813861,1222993
3/1/2016,38009408,7214837,6022836,5368335,8743743,35598467,3781091,3458803,5256315,758054
4/1/2016,51280843,8753650,4817152,5338442,8295350,31921663,4579617,5325767,4444496,187354
5/1/2016,16176642,5364175,2951916,3271360,5083330,19561368,2806356,3263593,2723556,2178035
6/1/2016,470147,3026311,1665385,1845605,2867867,11035954,1583265,1841224,1536553,7146970
7/1/2016,0,5681632,3126614,3464962,5384167,20719029,2972439,3456736,2884739,13953075
8/1/2016,0,6123046,3369525,3734160,5802470,22328720,3203371,3725293,3108857,11577307
9/1/2016,0,7800585,4292677,4757211,7392179,28446145,4081003,4745917,3960596,11830273
10/1/2016,69610,7939548,4369150,4841958,7523869,28952901,4153706,4830462,4031152,30499951
11/1/2016,378081,3352617,1844951,2044604,3177086,12225882,1753978,2039748,1702226,24986138
12/1/2016,349025,4435051,2440618,2704730,4202851,16173160,2320271,2698308,2251811,25935820
1/1/2017,7396748,5991267,3297008,3653791,5677590,21848167,3134431,3645120,3041950,8428973
2/1/2017,40454553,5550084,3054220,3384736,5259504,20239312,2903617,3376701,2817947,2304755
3/1/2017,60366138,8638996,4754059,5268519,8186698,31503559,4519634,5256014,4386282,1428569
4/1/2017,69253980,3140540,2366847,1103823,4115853,11807439,1245357,7358118,2362451,209204
5/1/2017,21846305,7452266,5525870,3065046,6441914,23208909,4926232,12472392,4305838,2432049
6/1/2017,634925,8454443,4433549,4153331,5661553,19705921,3734994,1379892,5427672,7980487
7/1/2017,0,9327361,4966944,6473643,10067416,29949832,4071813,1680023,6668633,15580356
8/1/2017,0,9425469,5117048,9488408,8777250,35366054,4249104,2637249,5289145,12927513
9/1/2017,0,12810957,5627999,6284102,10520710,39557160,5433259,3812609,7641769,13209981
10/1/2017,94008,15787165,4404063,4742569,11614063,42201388,7197221,3180845,7571019,34057017
11/1/2017,510592,3903195,2079407,3263945,5410900,14097690,1837044,1277868,2102135,27900153
12/1/2017,471354,7369679,2233144,4527153,7829238,23392770,6281884,1631154,4747312,28960592
1/1/2018,9989193,7847575,3436680,6397084,7151500,34009378,5102509,1688344,4395273,9412005
2/1/2018,54633247,4742655,2454790,3100910,5448120,12733817,2485164,6901193,2808554,2573547
3/1/2018,81523533,7590453,3445521,2341185,7334341,21047277,3218729,7910703,4192877,1595176
