,Accident Level,Potential Accident Level,Description,clean_description
0,1,4,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",while remove the drill rod the jumbo for maintenance the supervisor proceed loosen the support the intermediate centralized facilitate the removal see this the mechanic support one end the drill the equipment pull with both hand the bar and accelerate the removal from this this moment the bar slide from its point support and tighten the finger the mechanic between the drill bar and the beam the jumbo
1,1,4,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.",during the activation sodium sulphide pump the pip uncouple and the suicide solution design the area reach the maid immediately she make use the emergency shower and direct the ambulatory doctor and later the hospital note sulphide solution grams later
2,1,3,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",the sub station locate level when the collaborator the excavation work with pick hand tool hit rock with the flat part the beak bounce off hit the steel tip the safety shoe and then the metacarpal area the leave foot the collaborator cause the injury
3,1,1,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",approximately the the personnel begin the task unlock the soviet bolt the machine when they the penultimate bolt they identify that the hexagonal head wear proceed christ bal auxiliary assistant climb the platform exert pressure with your hand the key prevent from come out the bolt those moments two collaborators rotate with the lever anti clockwise direction leave the key the bolt hit the palm the leave hand cause the injury
4,4,4,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",approximately circumstances that the mechanics anthony group leader eduardo and eric fern nez injure the three the company perform the removal the pulley the motor the pump the marcy length weight lock proceed heat the pulley loosen come out and fall from distance meter high and hit the instep the right foot the worker cause the injury describe
5,1,3,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",during the unload operation the ustulado bag there need uncle the discharge mouth the silo truck perform this procedure there manoeuvre unhook the hose without the total pressurisation the mouth project ustulado powder the collaborator cause irritation the eye
6,1,3,"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",the collaborator report that street hold his leave hand the volumetric balloon when slip and when place his hand the grind the volumetric balloon end break cause small wind his leave hand
7,1,3,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",approximately when the mechanic technician jos the tecnomin verify the transmission belt the pump the acid plant proceed turn the pulley manually unexpectedly that instant the electrician supervisor miguel the mine grab the transmission belt verify their tension which point the finger trap
8,1,4,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",employee sit the rest area level raise bore when suffer sudden illness fall and suffer exhortation the face
9,1,2,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",the moment the forklift operator manipulate big bag dioxide section and just front the ladder that lead the area manual displacement splash spend the height his forehead from fissure pipe subsequently spill his leave eye the collaborator the nearby eyewash for clean and immediately the medical center
