,loan_installments_bucket_label_enc,loan_tenure_bucket_label_enc,Age_bucket_label_enc,monthly_expenses_bucket_label_enc,annual_income_bucket_label_enc,house_area_bucket_label_enc,sex_label_enc,social_class_label_enc,social_class_label_enc,secondary_business_label_enc,type_of_house_label_enc,loan_purpose_label_enc,social_class_label_enc,social_class_label_enc,city_trgt_label_enc,primary_busn_label_enc
14064,0,0,1,1,1,2,0,2,2,0,3,21,2,2,14,13
28590,1,0,1,1,4,1,0,1,1,0,1,17,1,1,11,20
31338,0,0,0,1,4,2,1,1,1,2,2,27,1,1,17,20
31048,0,0,1,1,4,1,0,1,1,0,3,13,1,1,14,26
37129,0,0,1,1,4,1,0,3,3,0,3,12,3,3,14,20
6971,0,0,1,0,1,2,0,1,1,4,3,23,1,1,11,20
2775,0,0,1,1,3,1,0,3,3,0,1,13,3,3,11,26
5223,0,0,1,0,2,1,0,3,3,1,3,4,3,3,11,20
14692,1,0,1,1,4,1,0,3,3,2,3,2,3,3,9,20
1079,0,0,1,1,1,1,0,1,1,4,2,1,1,1,11,20
4522,0,0,1,1,3,1,0,1,1,1,2,3,1,1,10,27
29702,0,0,1,1,3,1,0,1,1,1,2,21,1,1,16,13
26964,0,0,1,1,4,1,0,1,1,0,1,3,1,1,3,27
37474,0,0,1,1,4,1,0,3,3,0,3,21,3,3,14,13
7520,0,0,0,1,2,1,0,3,3,0,3,3,3,3,14,20
1829,0,0,1,1,3,2,0,4,4,0,1,3,4,4,11,27
36726,0,0,1,1,5,1,0,1,1,0,1,13,1,1,3,9
34406,0,0,1,1,4,1,0,3,3,0,1,2,3,3,3,18
119,0,0,0,1,2,1,0,1,1,2,2,1,1,1,10,24
114,0,0,0,1,3,1,0,1,1,0,2,14,1,1,10,29
16237,0,0,1,1,3,2,1,3,3,0,3,14,3,3,12,4
27027,0,0,1,1,3,1,0,1,1,0,2,1,1,1,3,20
19267,1,0,1,1,4,1,0,3,3,0,2,7,3,3,7,20
17358,1,0,1,1,1,1,0,1,1,0,1,3,1,1,11,25
14461,1,0,1,0,3,1,0,3,3,2,2,27,3,3,7,20
9909,0,0,1,1,0,0,0,4,4,0,2,9,4,4,10,20
37623,0,0,1,1,4,1,0,3,3,4,2,14,3,3,16,20
6540,0,0,1,1,3,2,1,2,2,0,1,3,2,2,11,25
4664,0,0,1,1,3,2,0,3,3,0,1,31,3,3,11,20
37337,0,0,1,1,4,2,0,3,3,0,3,2,3,3,3,18
3091,0,0,1,1,3,2,1,0,0,0,1,33,0,0,11,20
1126,0,0,1,1,2,1,0,1,1,0,3,17,1,1,11,15
4110,1,0,1,1,4,1,0,2,2,0,2,2,2,2,11,6
9249,1,0,1,1,0,0,0,4,4,0,2,2,4,4,11,6
18341,1,0,1,1,1,1,0,1,1,0,3,31,1,1,8,20
5670,0,0,1,1,1,1,0,0,0,1,3,2,0,0,11,18
13976,1,0,1,1,5,2,0,3,3,0,1,3,3,3,12,25
17882,0,0,1,1,1,1,0,2,2,0,1,21,2,2,11,13
