,loan_amount_bucket_4_label_enc
14064,0
28590,1
31338,1
31048,1
37129,1
6971,0
2775,1
5223,0
14692,1
1079,0
4522,0
29702,1
26964,1
37474,1
7520,1
1829,0
36726,1
34406,1
119,0
114,0
16237,1
27027,1
19267,1
17358,1
14461,1
9909,0
37623,1
6540,0
4664,0
37337,1
3091,0
1126,0
4110,1
9249,0
18341,1
5670,0
13976,1
17882,1
38903,1
18416,1
4786,0
20143,1
4289,0
8200,0
15045,1
279,0
16786,1
19937,1
12732,0
8566,0
7845,1
2934,0
30431,1
16985,1
22470,1
4879,1
15139,1
1689,0
38361,1
20939,1
6567,0
27246,1
18690,1
32632,1
23940,1
12220,0
26142,1
18265,1
14677,1
20218,1
996,0
27651,1
7837,1
27390,1
1490,0
14792,1
33898,1
22912,1
10344,0
6051,0
29093,1
19943,1
36463,1
23719,1
12089,0
27580,1
6264,1
26512,1
25917,1
32130,1
11933,0
24249,1
15308,1
37662,1
14252,0
1962,0
32089,1
1881,0
19215,1
2099,1
37221,1
18006,1
23910,1
9805,1
34911,1
32986,1
34079,1
23601,1
21331,1
38742,1
961,0
4234,0
11873,0
5071,1
23543,1
39418,0
39566,1
5000,0
36999,1
19469,0
9360,0
11983,1
3041,0
32524,1
10010,1
7791,1
20583,1
17351,1
35942,1
3699,0
1781,1
33255,1
38897,1
23199,1
27939,1
4725,0
15777,1
7379,0
18666,1
11363,0
19251,1
5206,0
5932,1
30816,1
38660,1
30614,1
10856,0
29317,1
24483,1
21672,1
32236,1
34921,1
1115,0
32520,1
11997,1
35532,1
39121,1
4463,0
22383,1
10436,0
8303,1
31643,1
16364,1
35791,0
26594,1
10961,1
2798,1
25373,1
28476,1
9745,1
21403,1
7256,1
5489,0
28371,1
30162,0
30543,1
4939,1
31348,1
35153,1
16261,0
2246,0
19131,1
11875,0
5046,0
16905,1
13145,0
24,0
11387,0
37313,1
7282,1
39235,1
32701,1
34017,1
31879,1
20402,1
27483,1
37288,1
32730,1
4343,0
33484,1
24854,1
5616,0
3872,1
2752,0
37222,1
3818,0
33492,1
32928,1
13163,1
36343,1
28095,1
25559,1
17653,1
2626,1
4028,0
20146,1
37714,1
7351,1
5573,0
38615,1
35952,1
18263,1
11689,0
18583,1
34127,1
11267,0
17960,1
17703,0
14545,0
17290,1
6321,1
9219,0
36499,1
15129,1
37087,1
21793,1
2024,0
15402,1
16737,1
36313,1
39098,1
1432,1
7671,0
6606,0
33858,1
5450,1
2894,1
25162,1
30686,1
8444,0
23533,1
2970,1
21775,1
6896,0
36388,1
22254,1
11672,0
33940,1
34575,0
31118,1
11453,0
25409,1
11197,0
5464,1
12783,0
22526,1
10854,0
32542,1
5155,0
19893,1
39844,1
20281,1
36790,1
6120,1
4892,0
7212,1
22902,1
17080,0
2839,1
32471,1
19400,0
24397,1
38315,1
14235,1
24756,1
22103,1
11741,0
32731,1
16577,1
20796,1
12414,0
4276,0
1081,0
9040,0
12969,0
4019,0
25641,1
33927,1
26915,1
17187,1
27190,1
30449,1
28799,1
19496,1
34839,1
35328,1
28422,1
27257,1
15213,1
13211,0
5488,0
30956,1
31903,1
3859,1
3779,1
31965,1
20087,1
23341,1
2975,1
37083,1
13255,0
33704,1
3874,1
39709,1
20192,1
2564,0
5399,0
10802,0
29955,1
8861,0
23903,1
18636,1
5722,0
6838,0
30704,1
37534,0
13920,0
39809,1
27836,1
2166,0
34328,1
20033,1
6458,1
32361,1
24805,1
4369,0
20855,1
21147,1
8541,1
6007,1
1273,0
29791,1
2159,0
26455,0
37024,1
18759,1
33426,1
9708,1
23081,1
3145,0
8754,0
10687,0
3014,0
3388,1
34509,1
38175,1
33445,1
3083,0
10617,0
11220,0
34289,0
22102,1
32927,1
21294,1
15686,1
39188,1
38766,1
17352,1
27377,1
16566,1
615,0
3352,0
38855,1
24861,1
36990,1
10888,0
13666,0
9889,0
37576,1
3985,0
28023,1
27873,1
27723,1
15785,1
5103,1
2659,0
21143,1
3466,0
22698,0
12752,0
25532,1
39444,1
14410,1
5912,1
38861,1
32964,1
15375,1
22737,1
9765,0
9946,0
33765,1
33603,1
1010,0
20542,0
2470,1
30697,1
26018,1
29973,1
13400,1
5446,1
6753,1
35969,1
36177,1
15907,1
5266,0
6670,1
17003,1
30375,1
27431,1
30679,1
13317,0
5272,1
37124,1
3822,1
16718,1
27892,0
12591,0
29255,1
23190,1
12269,0
12055,1
783,0
13379,0
19297,1
7896,0
23438,1
1087,0
732,0
19895,1
32991,1
14100,0
144,0
13603,1
9291,0
6551,0
6640,0
4776,0
28179,1
6752,0
13861,0
26104,1
19992,1
34269,1
33626,1
17777,0
24043,1
19019,1
18298,1
17312,0
20599,1
17608,1
36721,1
958,0
3882,0
19587,1
32194,1
14622,1
18641,1
21311,1
9658,0
1422,0
25923,1
3341,0
39835,1
23621,1
5059,0
24734,1
36679,1
29181,1
22818,0
35125,1
10529,1
24222,1
21201,1
25983,1
39205,1
30102,1
11918,0
13894,0
16209,1
2984,1
28028,1
23864,1
7396,1
30640,0
10543,1
12472,0
18102,1
12721,0
29250,0
7325,0
38778,1
35414,1
13053,0
37492,1
33792,1
515,0
36631,1
30108,1
11568,1
24867,1
7755,1
23247,1
30480,1
4079,0
39219,1
35001,1
11451,1
17076,1
28156,1
12057,0
17412,1
38121,1
14228,0
2784,0
3103,0
498,0
25817,1
31919,1
21740,1
