,type,text
0,ham,hope having good checking
1,ham,dong cbe bt pay
2,ham,ask mummy father
3,ham,fyi usf swing room
4,ham,sure thing big hockey election longer hour
5,ham,march problem capital far work lady
6,ham,hmm night night
7,ham,k sure noon
8,ham,ha ha cool cool chick
9,ham,int tell angry told
10,ham,u wan come come din c stripe
11,ham,2pro coming gym
12,ham,arr birthday wish
13,ham,reading gun nan bari judge forge pataistha eating
14,ham,sent score soap secondary application think thinking research cost contact joke school expensive one
15,ham,read love answered
16,ham,fuuuuck need stop sup
17,ham,ur today plan
18,ham,exhausted train wine sleep
19,ham,ron fri n said ding tai feng cant said wait
20,ham,violate acting hear text
21,ham,oh k got job whats
22,ham,yeah think use gt atm sure help let sure
23,ham,nationwide auto centre like newport liked
24,ham,yeah sure leave min
25,ham,mah pick tomorrow
26,ham,dun believe
27,ham,sent u
28,ham,hey whats plan
29,ham,come somebody want
30,ham,init raining heavily co e mrt c
31,ham,think going come
32,ham,peasant trans mother passed away pray
33,ham,enjoy shower possessiveness poured u ur loved book world golden gift loved
34,ham,skateboarding despite fact get thrown wind manages arm minute
35,ham,connection today decimal refund bill
36,ham,mum going robinson
37,ham,deal charles told night yeah
38,ham,thought co thats kind thing u love
39,ham,safe trip wish happiness soon company share moment
40,ham,mean post wrote like time written stuff let sit feeling hit checked phone got said time fold
41,ham,want marque look usf dogwood tiny street parking lot
42,ham,ha ha nan yalrigu kochi u shared thing wit far told body uttered word abt ur trusting tell plz nxt time dont use word
43,ham,jan al post office holiday cn fr post differ
44,ham,think send love
45,ham,beautiful truth read heart feel light feel heavy leaf good night
46,ham,love think hope day go sleep miss long moment
47,ham,lara said loan
48,ham,dunno leh cant remember wat time r meeting
49,ham,ur opinion abt abt
50,ham,oh den mu ching sat n sun
51,ham,work right
52,ham,bring home wendy
53,ham,ok going hope meet
54,ham,brave bus taken train mean jolly good rest week
55,ham,board working issue overheating software inst come
56,ham,ago forgotten guy
57,ham,hey tmr maybe meet yck
58,ham,ok coming home
59,ham,u called dad
60,ham,head text meet
61,ham,miss surprised gone net cafe miss
62,ham,yup bath
63,ham,getting threat sale executive shield raised complaint official
64,ham,increase chance
65,ham,going royal wedding
66,ham,dear reached happen
67,ham,probably gonna swing wee bit
68,ham,k k pa lunch
69,ham,waited yesterday
70,ham,home way
71,ham,good ttl
72,ham,watching house entertaining getting hugh large thing stick especially
73,ham,family responding room went home dial called make feel like
74,ham,people special remain special till maintain till life cr da
75,ham,r u working
76,ham,ya know u vl ok thanks enjoy wit ur family wit 1st
77,ham,lol forgot eh bring babe
78,ham,wow old airport rd cant b bathing dog
79,ham,got thing pub
80,ham,wat u
81,ham,browsing compulsory
82,ham,having movie laptop
83,ham,eat fo lunch senior
84,ham,thank happy nam fine remembered met insurance qatar sha ex tata big joined
85,ham,gonna able late home week plan
86,ham,dont like hi hi hi
87,ham,crashed muddled
88,ham,dont new picture
89,ham,grumpy old mom like better play
90,ham,boo way making gorilla mmmm
91,ham,think actually talk bos went place year told car fixed kept telling today hoped come regretted getting
92,ham,pls tell nelson longer money expecting aint coming
93,ham,didnt da
94,ham,want freezing
95,ham,bishop lar need buy early co buy gotta park
96,ham,staying trouble dave day sorted broke u gone girl mum think
97,ham,got way pick
98,ham,send bec temple
99,ham,completed use joining
100,ham,spoke maneesha like know satisfied reply toll free yes
101,ham,alright got minor crisis home sooner thought asap
102,ham,thought box
103,ham,u u u b moving co need arrange pick hello
104,ham,hello darwin ive finished college txt u finish u love kate xxx
105,ham,break time come n stuff fr
106,ham,let u noe leave
107,ham,searching right word thank promise wont help granted fulfil wonderful blessing
108,ham,midnight earliest
109,ham,u fb list
110,ham,kitty shaved
111,ham,woman bad dream u dont like u right didnt know comedy night guess im
112,ham,adult learn real dont like keep drug dont comment
113,ham,wot people t r crisis
114,ham,try making
115,ham,sorry hurt
116,ham,c u
117,ham,ok leave need ask
118,ham,living jungle driving worried
119,ham,remain unconvinced elaborate test willpower
120,ham,sorry missed late slept hope enjoy driving miss
121,ham,mm kanji dont eat heavy ok
122,ham,dont file work called tell find
123,ham,ya ready thursday
124,ham,know complain num directly snl nd apply
125,ham,check room activity
126,ham,sha b got conclusion n content pg n b da content pg n cover
127,ham,donna sortable
128,ham,send ur birthdate month tel u ur life method reply
129,ham,finished work
130,ham,gun ming dear hav nice day
131,ham,e msg jus u said thanks
132,ham,time tried adding checking
133,ham,aia e rain like big drilling run
134,ham,gone info bt dont know
135,ham,maybe old meet hr
136,ham,sorry man dry want trade half buy stuff credit card
137,ham,gal n boy walking d hold ur u think run st want c feel walking heaven
138,ham,come going shell unconscious avoiding making unhappy
139,ham,started searching job great potential
