U.S. Custom Ports,Coast,Year,ImportTons,ExportTons
"Aberdeen, WA",P,2000,0.0,0.0
"Anacortes, WA",P,2000,0.0,0.0
"Anchorage, AK",AK,2000,0.0,11414.6
"Baltimore, MD",A,2000,172563.87,103391.3
"Baton Rouge, LA",G,2000,1.5,0.0
"Beaufort-Morehead City, NC",A,2000,0.0,26.07
"Beaumont, TX",G,2000,169.0,43.39
"Boston, MA",A,2000,54222.41,19277.91
"Brunswick, GA",A,2000,0.0,52.0
"Camden, NJ",A,2000,298.23,6247.7600000000275
"Charleston, SC",A,2000,618460.6400000007,627720.25
"Chester, PA",A,2000,31958.7,19760.14
"Corpus Christi, TX",G,2000,0.0,16.0
"Everett, WA",P,2000,927.17,906.34
"Fernandina Beach, FL",A,2000,8781.93,9002.29
"Fort Pierce, FL",A,2000,14.01,94.9
"Freeport, TX",G,2000,23829.35,20685.2
"Galveston, TX",G,2000,1999.13,1506.31
"Gloucester City, NJ",A,2000,19.0,9165.0
"Gramercy, LA",G,2000,1.54,935.26
"Gulfport, MS",G,2000,81495.34000000016,74171.20000000008
"Honolulu, HI",HI,2000,13078.36,13331.02
"Houston, TX",G,2000,366821.43,366313.05
"Jacksonville, FL",A,2000,30913.86,79556.84
"Kodiak, AK",AK,2000,0.0,0.0
"Lake Charles, LA",G,2000,0.0,185.48
"Long Beach, CA",P,2000,2401299.7,802255.1100000006
"Longview, WA",P,2000,0.0,9.6
"Los Angeles, CA",P,2000,2428793.69,798948.9700000009
"Mayaguez, PR",PR,2000,9737.62000000008,10388.77
"Miami, FL",A,2000,335294.0,348209.690000001
"Mobile, AL",G,2000,5513.86,8638.09
"New Orleans, LA",G,2000,91384.38000000008,138056.23
"New York, NY",A,2000,1511578.59,688764.8700000009
"Newport News, VA",A,2000,40057.13,33729.77
"Norfolk, VA",A,2000,437522.5,412877.64
"Oakland, CA",P,2000,418923.68,569849.4
"Panama City, FL",G,2000,7.0,8.0
"Pensacola, FL",G,2000,0.0,0.0
"Pensauken, NJ",A,2000,6.0,144.17
"Philadelphia, PA",A,2000,65915.07,17340.48
"Ponce, PR",PR,2000,32379.79,7196.48
"Port Angeles, WA",P,2000,0.0,0.0
"Port Arthur, TX",G,2000,7.0,0.0
"Port Canaveral, FL",A,2000,171.8,169.93
"Port Everglades, FL",A,2000,175131.07,264086.3100000014
"Port Hueneme, CA",P,2000,9301.66,42.74
"Port Manatee, FL",G,2000,0.0,0.0
"Portland, ME",A,2000,1074.51,2316.83
"Portland, OR",P,2000,38049.9,173455.1
"Portsmouth, NH",A,2000,0.0,0.0
"Salem, NJ",A,2000,0.0,0.0
"San Diego, CA",P,2000,10.27,2.0
"San Francisco, CA",P,2000,23857.47,12060.81
"San Juan, PR",PR,2000,105835.13,45850.49
"Savannah, GA",A,2000,382070.26,338161.0
"Seattle, WA",P,2000,588418.6500000018,371463.93
"Tacoma, WA",P,2000,391491.13000000064,255525.74
"Tampa, FL",G,2000,1858.08,4215.519999999994
"Vancouver, WA",P,2000,303.18,7.0
"West Palm Beach, FL",A,2000,25667.21,103958.13
"Wilmington, DE",A,2000,97023.36,25666.46
"Wilmington, NC",A,2000,41823.8,30211.23
"Aberdeen, WA",P,2001,0.0,11.34
"Anacortes, WA",P,2001,0.0,0.0
"Anchorage, AK",AK,2001,0.0,11103.47
"Baltimore, MD",A,2001,177638.34,95779.9300000001
"Baton Rouge, LA",G,2001,0.0,41.0
"Beaufort-Morehead City, NC",A,2001,38.0,6.0
"Beaumont, TX",G,2001,41.0,13.06
"Boston, MA",A,2001,50735.81,13341.96
"Brunswick, GA",A,2001,0.0,489.2
"Camden, NJ",A,2001,339.31,7416.19000000003
"Charleston, SC",A,2001,612163.3000000005,546587.22
"Chester, PA",A,2001,31466.05,22723.37
"Corpus Christi, TX",G,2001,20.0,69.0
"Everett, WA",P,2001,412.08,378.48
"Fernandina Beach, FL",A,2001,7056.54,9119.800000000014
"Fort Pierce, FL",A,2001,2.0,18.0
"Freeport, TX",G,2001,19442.33,24067.04
"Galveston, TX",G,2001,6031.06,4148.38
"Gloucester City, NJ",A,2001,506.64,6143.64
"Gramercy, LA",G,2001,5923.85,2240.4299999999885
"Gulfport, MS",G,2001,85479.84,73465.6900000002
"Honolulu, HI",HI,2001,13826.64,14546.06
"Houston, TX",G,2001,381307.96,402007.71
"Jacksonville, FL",A,2001,24519.92,78981.92
"Kodiak, AK",AK,2001,0.0,16.0
"Lake Charles, LA",G,2001,0.0,2730.64
"Long Beach, CA",P,2001,2376416.81,818703.1800000024
"Longview, WA",P,2001,0.0,26.0
"Los Angeles, CA",P,2001,2613777.150000006,814631.0600000008
"Mayaguez, PR",PR,2001,10510.23,10848.98
"Miami, FL",A,2001,346559.37,370540.77000000124
"Mobile, AL",G,2001,6345.61,7341.27
"New Orleans, LA",G,2001,85647.06,131486.67
"New York, NY",A,2001,1587675.2900000068,767457.9200000025
"Newport News, VA",A,2001,23988.11,21043.54
"Norfolk, VA",A,2001,454216.3,431175.96
"Oakland, CA",P,2001,419010.3,544473.75
"Panama City, FL",G,2001,0.0,0.0
"Pensacola, FL",G,2001,90.0,0.0
"Pensauken, NJ",A,2001,4.75,191.47
"Philadelphia, PA",A,2001,71137.63,12269.99
"Ponce, PR",PR,2001,30171.3,6867.06
"Port Angeles, WA",P,2001,76.0,0.0
"Port Arthur, TX",G,2001,0.0,4.0
"Port Canaveral, FL",A,2001,167.84,61.59
"Port Everglades, FL",A,2001,170710.06,246128.83000000138
"Port Hueneme, CA",P,2001,8673.61,304.25
"Port Manatee, FL",G,2001,0.0,0.0
"Portland, ME",A,2001,1452.12,916.92
"Portland, OR",P,2001,46646.49,159753.22
"Portsmouth, NH",A,2001,0.0,0.0
"Salem, NJ",A,2001,0.0,0.0
"San Diego, CA",P,2001,3.84,0.0
"San Francisco, CA",P,2001,15748.59,7068.52
"San Juan, PR",PR,2001,108206.97,42228.81
"Savannah, GA",A,2001,430806.22,382178.03
"Seattle, WA",P,2001,499584.1600000012,324807.89
"Tacoma, WA",P,2001,356385.44,255507.72
"Tampa, FL",G,2001,812.38,3383.9099999999944
"Vancouver, WA",P,2001,735.51,28.0
"West Palm Beach, FL",A,2001,26648.27,92148.44000000022
"Wilmington, DE",A,2001,103260.19,24767.38
"Wilmington, NC",A,2001,37076.64,29644.88
"Aberdeen, WA",P,2002,0.0,10.6
"Anacortes, WA",P,2002,0.0,0.0
"Anchorage, AK",AK,2002,0.0,17243.1
"Baltimore, MD",A,2002,202685.96,99258.28
"Baton Rouge, LA",G,2002,74.63,848.38
"Beaufort-Morehead City, NC",A,2002,124.17,0.0
"Beaumont, TX",G,2002,128.0,30.65
"Boston, MA",A,2002,55522.2,24556.92
"Brunswick, GA",A,2002,2.0,1.0
"Camden, NJ",A,2002,257.23,6182.6700000000155
"Charleston, SC",A,2002,676109.25,521288.54
"Chester, PA",A,2002,35491.0,23570.12
"Corpus Christi, TX",G,2002,48.12,0.0
"Everett, WA",P,2002,202.75,0.0
"Fernandina Beach, FL",A,2002,5960.72,8290.660000000009
"Fort Pierce, FL",A,2002,2.0,53.83
"Freeport, TX",G,2002,29268.79,24992.4
"Galveston, TX",G,2002,12458.62,2715.76
"Gloucester City, NJ",A,2002,25.0,5806.87
"Gramercy, LA",G,2002,392.22,1167.13
"Gulfport, MS",G,2002,92877.94000000006,79922.32000000012
"Honolulu, HI",HI,2002,15534.46,16113.49
"Houston, TX",G,2002,420361.21,430301.49
"Jacksonville, FL",A,2002,35733.3,78415.92
"Kodiak, AK",AK,2002,0.0,2.0
"Lake Charles, LA",G,2002,929.0,2263.58
"Long Beach, CA",P,2002,2466755.98,716872.5900000011
"Longview, WA",P,2002,0.0,0.0
"Los Angeles, CA",P,2002,3193803.75,865746.7000000007
"Mayaguez, PR",PR,2002,11862.580000000084,11701.87
"Miami, FL",A,2002,402726.22,349259.68000000104
"Mobile, AL",G,2002,6240.2,8066.96
"New Orleans, LA",G,2002,89498.16,126557.32
"New York, NY",A,2002,1879455.08,747661.1100000014
"Newport News, VA",A,2002,36794.71,20187.16
"Norfolk, VA",A,2002,551168.0,430838.77
"Oakland, CA",P,2002,482484.61,496331.4100000005
"Panama City, FL",G,2002,0.0,0.0
"Pensacola, FL",G,2002,0.0,1.0
"Pensauken, NJ",A,2002,2.0,153.43
"Philadelphia, PA",A,2002,78254.08,36405.09
"Ponce, PR",PR,2002,21994.54,6624.52
"Port Angeles, WA",P,2002,0.0,0.0
"Port Arthur, TX",G,2002,1.0,170.0
"Port Canaveral, FL",A,2002,279.59,5.34
"Port Everglades, FL",A,2002,157095.69,213170.39000000106
"Port Hueneme, CA",P,2002,8236.21,336.66
"Port Manatee, FL",G,2002,0.0,0.0
"Portland, ME",A,2002,1861.46,851.66
"Portland, OR",P,2002,46695.6,138437.9
"Portsmouth, NH",A,2002,0.0,0.0
"Salem, NJ",A,2002,0.0,0.0
"San Diego, CA",P,2002,1413.46,769.68
"San Francisco, CA",P,2002,11026.9,5588.06
"San Juan, PR",PR,2002,117116.59,41583.87
"Savannah, GA",A,2002,561277.5499999995,452615.33
"Seattle, WA",P,2002,511520.9200000008,338333.98
"Tacoma, WA",P,2002,490789.41,277980.84
"Tampa, FL",G,2002,157.7,2486.44
"Vancouver, WA",P,2002,65.0,0.0
"West Palm Beach, FL",A,2002,33358.92,109035.54
"Wilmington, DE",A,2002,106666.27,26520.04
"Wilmington, NC",A,2002,45356.69,25818.11
"Aberdeen, WA",P,2003,0.0,0.0
"Anacortes, WA",P,2003,0.0,0.0
"Anchorage, AK",AK,2003,350.38,21581.86
"Baltimore, MD",A,2003,191945.39,114899.58
"Baton Rouge, LA",G,2003,3.72,2.0
"Beaufort-Morehead City, NC",A,2003,60.4,1.0
"Beaumont, TX",G,2003,2.0,36.0
"Boston, MA",A,2003,58284.64,34324.03
"Brunswick, GA",A,2003,7.17,83.0
"Camden, NJ",A,2003,356.14,7382.810000000009
"Charleston, SC",A,2003,720638.8099999988,529131.43
